new_complete_name	library_id	unique_sample_id	batch_name	country	country_alpha2	country_alpha3	city	latitude	longtitude	batch_abbr	year	collection_date	isolation_source	organism	ena_sample_acc	ena_experiment_acc	ena_run_acc	instrument_model
DTU_2016_247_2_MG_Reproduce_53a_3	1	2016_pil_bra_04	GS pilot 2016 reproduce	Brazil	BR	BRA	Belem	-1.45	-48.47	pil	16	2/17/2016	wastewater	wastewater metagenome	ERS12242447	ERX9401102	ERR9855091	Illumina HiSeq 3000
DTU_2016_248_1_MG_Reproduce_54_1	1	2016_pil_mys_02	GS pilot 2016 reproduce	Malaysia	MY	MYS	Kuala Lumpur	3.15	101.69	pil	16	2/5/2016	wastewater	wastewater metagenome	ERS12242448	ERX9401109	ERR9855098	Illumina HiSeq 3000
DTU_2016_249_2_MG_Reproduce_54_3	1	2016_pil_mys_03	GS pilot 2016 reproduce	Malaysia	MY	MYS	Kuala Lumpur	3.15	101.69	pil	16	2/5/2016	wastewater	wastewater metagenome	ERS12242449	ERX9401096	ERR9855085	Illumina HiSeq 3000
DTU_2016_250_1_MG_Reproduce_64_1	1	2016_pil_chn_02	GS pilot 2016 reproduce	China	CN	CHN	Guangzhou	23.13	113.26	pil	16	2/2/2016	wastewater	wastewater metagenome	ERS12242450	ERX9401110	ERR9855099	Illumina HiSeq 3000
DTU_2016_251_2_MG_Reproduce_64_3	1	2016_pil_chn_03	GS pilot 2016 reproduce	China	CN	CHN	Guangzhou	23.13	113.26	pil	16	2/2/2016	wastewater	wastewater metagenome	ERS12242451	ERX9401095	ERR9855084	Illumina HiSeq 3000
DTU_2017_306_1_MG_PT_LI	1	2017_jun_prt_01	GS snapshot june 2017	Portugal	PT	PRT	Lisbon	38.71	-9.14	jun	17	6/6/2017	wastewater	wastewater metagenome	ERS2597408	ERX2697817	ERR2683203	Illumina NovaSeq 6000
DTU_2017_307_1_MG_ES_BA	1	2017_jun_esp_01	GS snapshot june 2017	Spain	ES	ESP	Barcelona	41.38	2.18	jun	17	6/8/2017	wastewater	wastewater metagenome	ERS2597419	ERX2697828	ERR2683214	Illumina NovaSeq 6000
DTU_2017_308_1_MG_GR_AT	1	2017_jun_grc_01	GS snapshot june 2017	Greece	GR	GRC	Athens	37.98	23.73	jun	17	6/9/2017	wastewater	wastewater metagenome	ERS2597430	ERX2697839	ERR2683225	Illumina NovaSeq 6000
DTU_2017_309_1_MG_GB_FA	1	2017_jun_gbr_01	GS snapshot june 2017	United Kingdom	GB	GBR	Falmouth	50.16	-5.07	jun	17	6/9/2017	wastewater	wastewater metagenome	ERS2597441	ERX2697850	ERR2683236	Illumina NovaSeq 6000
DTU_2017_310_1_MG_GB_CA	1	2017_jun_gbr_02	GS snapshot june 2017	United Kingdom	GB	GBR	Camborne	50.21	-5.3	jun	17	6/9/2017	wastewater	wastewater metagenome	ERS2597452	ERX2697861	ERR2683247	Illumina NovaSeq 6000
DTU_2017_311_1_MG_TD_ND	1	2017_jun_tcd_01	GS snapshot june 2017	Chad	TD	TCD	N'Djamena	12.12	15.05	jun	17	6/11/2017	wastewater	wastewater metagenome	ERS2597463	ERX2697872	ERR2683258	Illumina NovaSeq 6000
DTU_2017_312_1_MG_CI_AB	1	2017_jun_civ_01	GS snapshot june 2017	Cote d'Ivoire	CI	CIV	Abidjan	5.32	-4.02	jun	17	6/13/2017	wastewater	wastewater metagenome	ERS2597474	ERX2697883	ERR2683269	Illumina NovaSeq 6000
DTU_2017_313_1_MG_CI_BO_a	1	2017_jun_civ_02	GS snapshot june 2017	Cote d'Ivoire	CI	CIV	Bwake	7.71	-5.02	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597485	ERX2697894	ERR2683280	Illumina NovaSeq 6000
DTU_2017_314_1_MG_CI_YA	1	2017_jun_civ_03	GS snapshot june 2017	Cote d'Ivoire	CI	CIV	Yamoussoukro	6.81	-5.27	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597328	ERX2697737	ERR2683123	Illumina NovaSeq 6000
DTU_2017_315_1_MG_MY_KL	1	2017_jun_mys_01	GS snapshot june 2017	Malaysia	MY	MYS	Kuala Lumpur	3.15	101.69	jun	17	6/15/2017	wastewater	wastewater metagenome	ERS2597339	ERX2697748	ERR2683134	Illumina NovaSeq 6000
DTU_2017_316_1_MG_MY_KG	1	2017_jun_mys_02	GS snapshot june 2017	Malaysia	MY	MYS	Klang	3.04	101.45	jun	17	6/16/2017	wastewater	wastewater metagenome	ERS2597350	ERX2697759	ERR2683145	Illumina NovaSeq 6000
DTU_2017_317_1_MG_CM_YA	1	2017_jun_cmr_01	GS snapshot june 2017	Cameroon	CM	CMR	Yaounde	3.87	11.52	jun	17	6/15/2017	wastewater	wastewater metagenome	ERS2597361	ERX2697770	ERR2683156	Illumina NovaSeq 6000
DTU_2017_318_1_MG_HK_HK	1	2017_jun_hkg_01	GS snapshot june 2017	Hong Kong	HK	HKG	Hong Kong	22.28	114.16	jun	17	6/23/2017	wastewater	wastewater metagenome	ERS2597372	ERX2697781	ERR2683167	Illumina NovaSeq 6000
DTU_2017_319_1_MG_VN_HO	1	2017_jun_vnm_01	GS snapshot june 2017	Viet Nam	VN	VNM	Hanoi	21.03	105.85	jun	17	6/16/2017	wastewater	wastewater metagenome	ERS2597383	ERX2697792	ERR2683178	Illumina NovaSeq 6000
DTU_2017_320_1_MG_BR_BE	1	2017_jun_bra_01	GS snapshot june 2017	Brazil	BR	BRA	Belem	-1.45	-48.47	jun	17	6/23/2017	wastewater	wastewater metagenome	ERS2597393	ERX2697802	ERR2683188	Illumina NovaSeq 6000
DTU_2017_321_1_MG_US_PO	1	2017_jun_usa_01	GS snapshot june 2017	USA	US	USA	Portland	45.52	-122.67	jun	17	1/1/2017	wastewater	wastewater metagenome	ERS2597394	ERX2697803	ERR2683189	Illumina NovaSeq 6000
DTU_2017_322_1_MG_GL_SI	1	2017_jun_grl_01	GS snapshot june 2017	Greenland	DK	DNK	Sisimiut	66.93	-53.67	jun	17	6/16/2017	wastewater	wastewater metagenome	ERS2597395	ERX2697804	ERR2683190	Illumina NovaSeq 6000
DTU_2017_323_1_MG_MY_AS	1	2017_jun_mys_03	GS snapshot june 2017	Malaysia	MY	MYS	Sungai Petani	5.64	100.49	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597396	ERX2697805	ERR2683191	Illumina NovaSeq 6000
DTU_2017_324_1_MG_MY_PG	1	2017_jun_mys_04	GS snapshot june 2017	Malaysia	MY	MYS	George Town	5.41	100.33	jun	17	6/8/2017	wastewater	wastewater metagenome	ERS2597398	ERX2697807	ERR2683193	Illumina NovaSeq 6000
DTU_2017_325_1_MG_MY_IP	1	2017_jun_mys_05	GS snapshot june 2017	Malaysia	MY	MYS	Ipoh	4.6	101.09	jun	17	8/12/2017	wastewater	wastewater metagenome	ERS2597399	ERX2697808	ERR2683194	Illumina NovaSeq 6000
DTU_2017_326_1_MG_MY_PB	1	2017_jun_mys_06	GS snapshot june 2017	Malaysia	MY	MYS	Butterworth	5.39	100.37	jun	17	6/8/2017	wastewater	wastewater metagenome	ERS2597400	ERX2697809	ERR2683195	Illumina NovaSeq 6000
DTU_2017_327_1_MG_JP_JP	1	2017_jun_jpn_01	GS snapshot june 2017	Japan	JP	JPN	Anonymous	NA	NA	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597401	ERX2697810	ERR2683196	Illumina NovaSeq 6000
DTU_2017_328_1_MG_DK_AV	1	2017_jun_dnk_01	GS snapshot june 2017	Denmark	DK	DNK	Avedore	55.63	12.46	jun	17	6/15/2017	wastewater	wastewater metagenome	ERS2597402	ERX2697811	ERR2683197	Illumina NovaSeq 6000
DTU_2017_329_1_MG_NL_AM	1	2017_jun_nld_01	GS snapshot june 2017	Netherlands	NL	NLD	Amsterdam	52.37	4.89	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597403	ERX2697812	ERR2683198	Illumina NovaSeq 6000
DTU_2017_330_1_MG_NL_UT	1	2017_jun_nld_02	GS snapshot june 2017	Netherlands	NL	NLD	Utrecht	52.09	5.11	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597404	ERX2697813	ERR2683199	Illumina NovaSeq 6000
DTU_2017_331_1_MG_UY_MV	1	2017_jun_ury_01	GS snapshot june 2017	Uruguay	UY	URY	Montevideo	-34.91	-56.19	jun	17	6/16/2017	wastewater	wastewater metagenome	ERS2597405	ERX2697814	ERR2683200	Illumina NovaSeq 6000
DTU_2017_339_1_MG_DE_DR	1	2017_jun_deu_01	GS snapshot june 2017	Germany	DE	DEU	Dresden	51.05	13.74	jun	17	7/9/2017	wastewater	wastewater metagenome	ERS2597414	ERX2697823	ERR2683209	Illumina NovaSeq 6000
DTU_2017_340_1_MG_AL_TI	1	2017_jun_alb_01	GS snapshot june 2017	Albania	AL	ALB	Tirana	41.32	19.9	jun	17	6/5/2017	wastewater	wastewater metagenome	ERS2597415	ERX2697824	ERR2683210	Illumina NovaSeq 6000
DTU_2017_341_1_MG_GH_AC	1	2017_jun_gha_01	GS snapshot june 2017	Ghana	GH	GHA	Accra	5.56	-0.21	jun	17	6/16/2017	wastewater	wastewater metagenome	ERS2597416	ERX2697825	ERR2683211	Illumina NovaSeq 6000
DTU_2017_342_1_MG_GH_KU	1	2017_jun_gha_02	GS snapshot june 2017	Ghana	GH	GHA	Kumasi	6.7	-1.62	jun	17	6/16/2017	wastewater	wastewater metagenome	ERS2597417	ERX2697826	ERR2683212	Illumina NovaSeq 6000
DTU_2017_343_1_MG_NZ_CH	1	2017_jun_nzl_01	GS snapshot june 2017	New Zealand	NZ	NZL	Christchurch	-43.53	172.64	jun	17	6/6/2017	wastewater	wastewater metagenome	ERS2597418	ERX2697827	ERR2683213	Illumina NovaSeq 6000
DTU_2017_344_1_MG_PH_QU	1	2017_jun_phl_01	GS snapshot june 2017	Philippines	PH	PHL	Manila	14.59	120.98	jun	17	6/29/2017	wastewater	wastewater metagenome	ERS2597420	ERX2697829	ERR2683215	Illumina NovaSeq 6000
DTU_2017_345_1_MG_FR_NA	1	2017_jun_fra_01	GS snapshot june 2017	France	FR	FRA	Nantes	47.22	-1.55	jun	17	6/19/2017	wastewater	wastewater metagenome	ERS2597421	ERX2697830	ERR2683216	Illumina NovaSeq 6000
DTU_2017_346_1_MG_FR_AU	1	2017_jun_fra_02	GS snapshot june 2017	France	FR	FRA	Saint Philibert	47.21	5.01	jun	17	6/20/2017	wastewater	wastewater metagenome	ERS2597422	ERX2697831	ERR2683217	Illumina NovaSeq 6000
DTU_2017_347_1_MG_CH_BR	1	2017_jun_che_01	GS snapshot june 2017	Switzerland	CH	CHE	Bern	46.95	7.45	jun	17	6/11/2017	wastewater	wastewater metagenome	ERS2597423	ERX2697832	ERR2683218	Illumina NovaSeq 6000
DTU_2017_348_1_MG_SI_LJ	1	2017_jun_svn_01	GS snapshot june 2017	Slovenia	SI	SVN	Ljubljana	46.05	14.51	jun	17	6/14/2017	wastewater	wastewater metagenome	ERS2597424	ERX2697833	ERR2683219	Illumina NovaSeq 6000
DTU_2017_349_1_MG_SE_UP	1	2017_jun_swe_01	GS snapshot june 2017	Sweden	SE	SWE	Uppsala	59.86	17.64	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597425	ERX2697834	ERR2683220	Illumina NovaSeq 6000
DTU_2017_350_1_MG_IT_VE	1	2017_jun_ita_01	GS snapshot june 2017	Italy	IT	ITA	Verbania	45.92	8.55	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597426	ERX2697835	ERR2683221	Illumina NovaSeq 6000
DTU_2017_351_1_MG_IT_CA	1	2017_jun_ita_02	GS snapshot june 2017	Italy	IT	ITA	Cannobio	46.06	8.7	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597427	ERX2697836	ERR2683222	Illumina NovaSeq 6000
DTU_2017_352_1_MG_IT_NO	1	2017_jun_ita_03	GS snapshot june 2017	Italy	IT	ITA	Novara	45.58	8.55	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597428	ERX2697837	ERR2683223	Illumina NovaSeq 6000
DTU_2017_353_1_MG_IE_GA	1	2017_jun_irl_01	GS snapshot june 2017	Ireland	IE	IRL	Galway	53.27	-9.05	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597429	ERX2697838	ERR2683224	Illumina NovaSeq 6000
DTU_2017_354_1_MG_AT_VI	1	2017_jun_aut_01	GS snapshot june 2017	Austria	AT	AUT	Vienna	48.21	16.37	jun	17	6/7/2017	wastewater	wastewater metagenome	ERS2597431	ERX2697840	ERR2683226	Illumina NovaSeq 6000
DTU_2017_355_1_MG_SN_DA	1	2017_jun_sen_01	GS snapshot june 2017	Senegal	SN	SEN	Dakar	14.69	-17.45	jun	17	6/15/2017	wastewater	wastewater metagenome	ERS2597432	ERX2697841	ERR2683227	Illumina NovaSeq 6000
DTU_2017_356_1_MG_ME_PO	1	2017_jun_mne_01	GS snapshot june 2017	Montenegro	ME	MNE	Podgorica	42.44	19.26	jun	17	6/16/2017	wastewater	wastewater metagenome	ERS2597433	ERX2697842	ERR2683228	Illumina NovaSeq 6000
DTU_2017_357_1_MG_ET_AD	1	2017_jun_eth_01	GS snapshot june 2017	Ethiopia	ET	ETH	Addis Ababa	9	38.75	jun	17	6/27/2017	wastewater	wastewater metagenome	ERS2597434	ERX2697843	ERR2683229	Illumina NovaSeq 6000
DTU_2017_358_1_MG_RS_BE	1	2017_jun_srb_01	GS snapshot june 2017	Serbia	RS	SRB	Belgrade	44.82	20.46	jun	17	6/16/2017	wastewater	wastewater metagenome	ERS2597435	ERX2697844	ERR2683230	Illumina NovaSeq 6000
DTU_2017_359_1_MG_FI_TU	1	2017_jun_fin_01	GS snapshot june 2017	Finland	FI	FIN	Turku	60.45	22.27	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597436	ERX2697845	ERR2683231	Illumina NovaSeq 6000
DTU_2017_360_1_MG_FI_OU	1	2017_jun_fin_02	GS snapshot june 2017	Finland	FI	FIN	Oulu	65.01	25.47	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597437	ERX2697846	ERR2683232	Illumina NovaSeq 6000
DTU_2017_361_1_MG_FI_HE	1	2017_jun_fin_03	GS snapshot june 2017	Finland	FI	FIN	Helsinki	60.17	24.94	jun	17	6/6/2017	wastewater	wastewater metagenome	ERS2597438	ERX2697847	ERR2683233	Illumina NovaSeq 6000
DTU_2017_362_1_MG_CZ_PR	1	2017_jun_cze_01	GS snapshot june 2017	Czech Republic	CZ	CZE	Praha	50.09	14.42	jun	17	6/13/2017	wastewater	wastewater metagenome	ERS2597439	ERX2697848	ERR2683234	Illumina NovaSeq 6000
DTU_2017_363_1_MG_CZ_BR	1	2017_jun_cze_02	GS snapshot june 2017	Czech Republic	CZ	CZE	Brno	49.19	16.61	jun	17	6/13/2017	wastewater	wastewater metagenome	ERS2597440	ERX2697849	ERR2683235	Illumina NovaSeq 6000
DTU_2017_364_1_MG_TZ_MW	1	2017_jun_tza_01	GS snapshot june 2017	Tanzania	TZ	TZA	Mwanza	-2.52	32.9	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597442	ERX2697851	ERR2683237	Illumina NovaSeq 6000
DTU_2017_365_1_MG_TZ_MO	1	2017_jun_tza_02	GS snapshot june 2017	Tanzania	TZ	TZA	Morogoro	-6.87	37.81	jun	17	6/17/2017	wastewater	wastewater metagenome	ERS2597443	ERX2697852	ERR2683238	Illumina NovaSeq 6000
DTU_2017_366_1_MG_PY_SL	1	2017_jun_pry_01	GS snapshot june 2017	Paraguay	PY	PRY	San Lorenzo	-25.34	-57.51	jun	17	6/16/2017	wastewater	wastewater metagenome	ERS2597444	ERX2697853	ERR2683239	Illumina NovaSeq 6000
DTU_2017_367_1_MG_PY_AS	1	2017_jun_pry_02	GS snapshot june 2017	Paraguay	PY	PRY	Asuncion	-25.28	-57.63	jun	17	6/15/2017	wastewater	wastewater metagenome	ERS2597445	ERX2697854	ERR2683240	Illumina NovaSeq 6000
DTU_2017_368_1_MG_BB_BR	1	2017_jun_brb_01	GS snapshot june 2017	Barbados	BB	BRB	Bridgetown	13.1	-59.62	jun	17	6/15/2017	wastewater	wastewater metagenome	ERS2597446	ERX2697855	ERR2683241	Illumina NovaSeq 6000
DTU_2017_369_1_MG_BB_WO	1	2017_jun_brb_02	GS snapshot june 2017	Barbados	BB	BRB	Worthing	13.07	-59.58	jun	17	6/15/2017	wastewater	wastewater metagenome	ERS2597447	ERX2697856	ERR2683242	Illumina NovaSeq 6000
DTU_2017_370_1_MG_US_WA	1	2017_jun_usa_02	GS snapshot june 2017	USA	US	USA	Waco	31.55	-97.15	jun	17	6/15/2017	wastewater	wastewater metagenome	ERS2597448	ERX2697857	ERR2683243	Illumina NovaSeq 6000
DTU_2017_371_1_MG_US_AU	1	2017_jun_usa_03	GS snapshot june 2017	USA	US	USA	Austin	30.27	-97.74	jun	17	6/8/2017	wastewater	wastewater metagenome	ERS2597449	ERX2697858	ERR2683244	Illumina NovaSeq 6000
DTU_2017_372_1_MG_US_HO_a	1	2017_jun_usa_04	GS snapshot june 2017	USA	US	USA	Houston	29.76	-95.37	jun	17	6/9/2017	wastewater	wastewater metagenome	ERS2597450	ERX2697859	ERR2683245	Illumina NovaSeq 6000
DTU_2017_373_1_MG_BD_DH	1	2017_jun_bgd_01	GS snapshot june 2017	Bangladesh	BD	BGD	Dhaka	23.76	90.38	jun	17	6/14/2017	wastewater	wastewater metagenome	ERS2597451	ERX2697860	ERR2683246	Illumina NovaSeq 6000
DTU_2017_374_2_MG_US_HO_b	1	2017_jun_usa_05	GS snapshot june 2017	USA	US	USA	Houston	29.76	-95.37	jun	17	6/9/2017	wastewater	wastewater metagenome	ERS2597453	ERX2697862	ERR2683248	Illumina NovaSeq 6000
DTU_2017_375_1_MG_SK_BR	1	2017_jun_svk_01	GS snapshot june 2017	Slovakia	SK	SVK	Bratislava	48.15	17.11	jun	17	6/22/2017	wastewater	wastewater metagenome	ERS2597454	ERX2697863	ERR2683249	Illumina NovaSeq 6000
DTU_2017_376_1_MG_SE_GO	1	2017_jun_swe_02	GS snapshot june 2017	Sweden	SE	SWE	Gothenburg	57.71	11.97	jun	17	6/8/2017	wastewater	wastewater metagenome	ERS2597455	ERX2697864	ERR2683250	Illumina NovaSeq 6000
DTU_2017_377_1_MG_LV_RI	1	2017_jun_lva_01	GS snapshot june 2017	Latvia	LV	LVA	Riga	56.95	24.11	jun	17	6/6/2017	wastewater	wastewater metagenome	ERS2597456	ERX2697865	ERR2683251	Illumina NovaSeq 6000
DTU_2017_378_1_MG_LV_LI	1	2017_jun_lva_02	GS snapshot june 2017	Latvia	LV	LVA	Liepaja	56.5	21.01	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597457	ERX2697866	ERR2683252	Illumina NovaSeq 6000
DTU_2017_379_1_MG_DE_BE	1	2017_jun_deu_02	GS snapshot june 2017	Germany	DE	DEU	Berlin	52.52	13.39	jun	17	6/14/2017	wastewater	wastewater metagenome	ERS2597458	ERX2697867	ERR2683253	Illumina NovaSeq 6000
DTU_2017_380_1_MG_MU_PL	1	2017_jun_mus_01	GS snapshot june 2017	Mauritius	MU	MUS	Beau Bassin Rose-Hill	-20.23	57.47	jun	17	6/13/2017	wastewater	wastewater metagenome	ERS2597459	ERX2697868	ERR2683254	Illumina NovaSeq 6000
DTU_2017_381_1_MG_IL_BE	1	2017_jun_isr_01	GS snapshot june 2017	Israel	IL	ISR	Beer-Sheva	31.25	34.79	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597460	ERX2697869	ERR2683255	Illumina NovaSeq 6000
DTU_2017_382_1_MG_BA_BL	1	2017_jun_bih_01	GS snapshot june 2017	Bosnia and Herzegovina	BA	BIH	Banja Luka	44.77	17.2	jun	17	6/13/2017	wastewater	wastewater metagenome	ERS2597461	ERX2697870	ERR2683256	Illumina NovaSeq 6000
DTU_2017_383_1_MG_AU_MA	1	2017_jun_aus_01	GS snapshot june 2017	Australia	AU	AUS	Maningrida	-12.05	134.23	jun	17	6/20/2017	wastewater	wastewater metagenome	ERS2597462	ERX2697871	ERR2683257	Illumina NovaSeq 6000
DTU_2017_384_1_MG_AU_DD	1	2017_jun_aus_02	GS snapshot june 2017	Australia	AU	AUS	Darwin	-12.46	130.84	jun	17	6/15/2017	wastewater	wastewater metagenome	ERS2597464	ERX2697873	ERR2683259	Illumina NovaSeq 6000
DTU_2017_385_1_MG_MT_MS	1	2017_jun_mlt_01	GS snapshot june 2017	Malta	MT	MLT	Xghajra	35.89	14.55	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597465	ERX2697874	ERR2683260	Illumina NovaSeq 6000
DTU_2017_386_1_MG_MT_MN	1	2017_jun_mlt_02	GS snapshot june 2017	Malta	MT	MLT	Cirkewwa	35.98	14.34	jun	17	6/13/2017	wastewater	wastewater metagenome	ERS2597466	ERX2697875	ERR2683261	Illumina NovaSeq 6000
DTU_2017_387_1_MG_MT_GO	1	2017_jun_mlt_03	GS snapshot june 2017	Malta	MT	MLT	Ghajnsielem	36.03	14.29	jun	17	6/13/2017	wastewater	wastewater metagenome	ERS2597467	ERX2697876	ERR2683262	Illumina NovaSeq 6000
DTU_2017_388_1_MG_HU_BU	1	2017_jun_hun_01	GS snapshot june 2017	Hungary	HU	HUN	Budapest	47.48	19.15	jun	17	6/8/2017	wastewater	wastewater metagenome	ERS2597468	ERX2697877	ERR2683263	Illumina NovaSeq 6000
DTU_2017_389_1_MG_SA_KA	1	2017_jun_sau_01	GS snapshot june 2017	Saudi Arabia	SA	SAU	Thuwal	22.28	39.11	jun	17	6/5/2017	wastewater	wastewater metagenome	ERS2597469	ERX2697878	ERR2683264	Illumina NovaSeq 6000
DTU_2017_390_1_MG_LC_CA	1	2017_jun_lca_01	GS snapshot june 2017	Saint Lucia	LC	LCA	Castries	13.95	-60.99	jun	17	6/22/2017	wastewater	wastewater metagenome	ERS2597470	ERX2697879	ERR2683265	Illumina NovaSeq 6000
DTU_2017_391_1_MG_LC_GR	1	2017_jun_lca_02	GS snapshot june 2017	Saint Lucia	LC	LCA	Gros Islet	14.08	-60.95	jun	17	6/22/2017	wastewater	wastewater metagenome	ERS2597471	ERX2697880	ERR2683266	Illumina NovaSeq 6000
DTU_2017_392_1_MG_IN_CO	1	2017_jun_ind_01	GS snapshot june 2017	India	IN	IND	Kochi	9.98	76.25	jun	17	6/13/2017	wastewater	wastewater metagenome	ERS2597472	ERX2697881	ERR2683267	Illumina NovaSeq 6000
DTU_2017_393_1_MG_TG_LO	1	2017_jun_tgo_01	GS snapshot june 2017	Togo	TG	TGO	Lome	6.13	1.22	jun	17	6/14/2017	wastewater	wastewater metagenome	ERS2597473	ERX2697882	ERR2683268	Illumina NovaSeq 6000
DTU_2017_394_1_MG_NG_LA	1	2017_jun_nga_01	GS snapshot june 2017	Nigeria	NG	NGA	Lagos	6.46	3.39	jun	17	6/7/2017	wastewater	wastewater metagenome	ERS2597475	ERX2697884	ERR2683270	Illumina NovaSeq 6000
DTU_2017_395_2_MG_CI_BO_b	1	2017_jun_civ_04	GS snapshot june 2017	Cote d'Ivoire	CI	CIV	Bwake	7.71	-5.02	jun	17	6/12/2017	wastewater	wastewater metagenome	ERS2597476	ERX2697885	ERR2683271	Illumina NovaSeq 6000
DTU_2017_396_1_MG_BW_GA	1	2017_jun_bwa_01	GS snapshot june 2017	Botswana	BW	BWA	Gaborone	-24.66	25.91	jun	17	6/9/2017	wastewater	wastewater metagenome	ERS2597477	ERX2697886	ERR2683272	Illumina NovaSeq 6000
DTU_2017_397_1_MG_TW_TA	1	2017_jun_twn_01	GS snapshot june 2017	Taiwan	TW	TWN	Taipei	25.04	121.56	jun	17	6/6/2017	wastewater	wastewater metagenome	ERS2597478	ERX2697887	ERR2683273	Illumina NovaSeq 6000
DTU_2017_398_1_MG_US_SE	1	2017_jun_usa_06	GS snapshot june 2017	USA	US	USA	Seattle	47.6	-122.33	jun	17	6/13/2017	wastewater	wastewater metagenome	ERS2597479	ERX2697888	ERR2683274	Illumina NovaSeq 6000
DTU_2017_399_1_MG_US_WO	1	2017_jun_usa_07	GS snapshot june 2017	USA	US	USA	Woodinville WA	47.75	-122.15	jun	17	6/19/2017	wastewater	wastewater metagenome	ERS2597480	ERX2697889	ERR2683275	Illumina NovaSeq 6000
DTU_2017_400_1_MG_EC_QU	1	2017_jun_ecu_01	GS snapshot june 2017	Ecuador	EC	ECU	Quito	-0.22	-78.51	jun	17	12/14/2017	wastewater	wastewater metagenome	ERS2597481	ERX2697890	ERR2683276	Illumina NovaSeq 6000
DTU_2017_401_1_MG_PE_PI	1	2017_jun_per_01	GS snapshot june 2017	Peru	PE	PER	Piura City	-5.17	-80.33	jun	17	6/7/2017	wastewater	wastewater metagenome	ERS2597482	ERX2697891	ERR2683277	Illumina NovaSeq 6000
DTU_2017_402_1_MG_EC_GY	1	2017_jun_ecu_02	GS snapshot june 2017	Ecuador	EC	ECU	Guayaquil	-2.19	-79.89	jun	17	6/14/2017	wastewater	wastewater metagenome	ERS2597483	ERX2697892	ERR2683278	Illumina NovaSeq 6000
DTU_2017_403_1_MG_EC_CU	1	2017_jun_ecu_03	GS snapshot june 2017	Ecuador	EC	ECU	Cuenca	-2.9	-79	jun	17	6/9/2017	wastewater	wastewater metagenome	ERS2597484	ERX2697893	ERR2683279	Illumina NovaSeq 6000
DTU_2017_404_1_MG_EC_GA	1	2017_jun_ecu_04	GS snapshot june 2017	Ecuador	EC	ECU	Galapagos	-0.63	-90.36	jun	17	6/27/2017	wastewater	wastewater metagenome	ERS2597319	ERX2697728	ERR2683114	Illumina NovaSeq 6000
DTU_2017_405_1_MG_MW_KA	1	2017_jun_mwi_01	GS snapshot june 2017	Malawi	MW	MWI	Kasungu	-12.99	33.47	jun	17	6/17/2017	wastewater	wastewater metagenome	ERS2597320	ERX2697729	ERR2683115	Illumina NovaSeq 6000
DTU_2017_406_1_MG_MW_MZ	1	2017_jun_mwi_02	GS snapshot june 2017	Malawi	MW	MWI	Mzuzu	-11.46	34.02	jun	17	6/17/2017	wastewater	wastewater metagenome	ERS2597321	ERX2697730	ERR2683116	Illumina NovaSeq 6000
DTU_2017_407_1_MG_MW_ZO	1	2017_jun_mwi_03	GS snapshot june 2017	Malawi	MW	MWI	Zomba	-15.39	35.33	jun	17	6/13/2017	wastewater	wastewater metagenome	ERS2597322	ERX2697731	ERR2683117	Illumina NovaSeq 6000
DTU_2017_408_1_MG_MW_BL	1	2017_jun_mwi_04	GS snapshot june 2017	Malawi	MW	MWI	Blantyre	-15.79	35	jun	17	6/13/2017	wastewater	wastewater metagenome	ERS2597323	ERX2697732	ERR2683118	Illumina NovaSeq 6000
DTU_2017_409_1_MG_IS_RE	1	2017_jun_isl_01	GS snapshot june 2017	Iceland	IS	ISL	Reykjavik	64.15	-21.94	jun	17	6/18/2017	wastewater	wastewater metagenome	ERS2597324	ERX2697733	ERR2683119	Illumina NovaSeq 6000
DTU_2017_410_1_MG_PL_PL	1	2017_jun_pol_01	GS snapshot june 2017	Poland	PL	POL	Pulawy	51.42	21.97	jun	17	6/5/2017	wastewater	wastewater metagenome	ERS2597325	ERX2697734	ERR2683120	Illumina NovaSeq 6000
DTU_2017_411_1_MG_NG_IL_a	1	2017_jun_nga_02	GS snapshot june 2017	Nigeria	NG	NGA	Ilorin	8.5	4.55	jun	17	6/15/2017	wastewater	wastewater metagenome	ERS2597326	ERX2697735	ERR2683121	Illumina NovaSeq 6000
DTU_2017_412_2_MG_NG_IL_b	1	2017_jun_nga_03	GS snapshot june 2017	Nigeria	NG	NGA	Ilorin	8.5	4.55	jun	17	6/18/2017	wastewater	wastewater metagenome	ERS2597327	ERX2697736	ERR2683122	Illumina NovaSeq 6000
